,新闻名,新闻内容
931,习近平出席全国国有企业党的建设工作会议并发表重要讲话,中共中央政治局常委、中央书记处书记刘云山作总结讲话。中共中央政治局常委王岐山、张高丽出席会议。习近平在讲话中强调，国有企业是中国特色社会主义的重要物质基础和政治基础，是我们党执政兴国的重要支柱和依靠力量。新中国成立以来特别是改革开放以来，国有企业发展取得巨大成就。我国国有企业为我国经济社会发展、科技进步、国防建设、民生改善作出了历史性贡献，功勋卓著，功不可没。习近平指出，坚持党的领导、加强党的建设，是我国国有企业的光荣传统，是国有企业的“根”和“魂”，是我国国有企业的独特优势。新形势下，国有企业坚持党的领导、加强党的建设，总的要求是：坚持党要管党、从严治党，紧紧围绕全面解决党的领导、党的建设弱化、淡化、虚化、边缘化问题，坚持党对国有企业的领导不动摇，发挥企业党组织的领导核心和政治核心作用，保证党和国家方针政策、重大部署在国有企业贯彻执行；坚持服务生产经营不偏离，把提高企业效益、增强企业竞争实力、实现国有资产保值增值作为国有企业党组织工作的出发点和落脚点，以企业改革发展成果检验党组织的工作和战斗力；坚持党组织对国有企业选人用人的领导和把关作用不能变，着力培养一支宏大的高素质企业领导人员队伍；坚持建强国有企业基层党组织不放松，确保企业发展到哪里、党的建设就跟进到哪里、党支部的战斗堡垒作用就体现在哪里，为做强做优做大国有企业提供坚强组织保证。习近平强调，坚持党对国有企业的领导是重大政治原则，必须一以贯之；建立现代企业制度是国有企业改革的方向，也必须一以贯之。中国特色现代国有企业制度，“特”就特在把党的领导融入公司治理各环节，把企业党组织内嵌到公司治理结构之中，明确和落实党组织在公司法人治理结构中的法定地位，做到组织落实、干部到位、职责明确、监督严格。习近平指出，党对国有企业的领导是政治领导、思想领导、组织领导的有机统一。国有企业党组织发挥领导核心和政治核心作用，归结到一点，就是把方向、管大局、保落实。要明确党组织在决策、执行、监督各环节的权责和工作方式，使党组织发挥作用组织化、制度化、具体化。要处理好党组织和其他治理主体的关系，明确权责边界，做到无缝衔接，形成各司其职、各负其责、协调运转、有效制衡的公司治理机制。习近平强调，党和人民把国有资产交给企业领导人员经营管理，是莫大的信任。要加强对国有企业领导人员的党性教育、宗旨教育、警示教育，严明政治纪律和政治规矩，引导他们不断提高思想政治素质、增强党性修养，从思想深处拧紧螺丝。要突出监督重点，强化对关键岗位、重要人员特别是一把手的监督管理，完善“三重一大”决策监督机制，严格日常管理，整合监督力量，形成监督合力。习近平指出，坚持全心全意依靠工人阶级的方针，是坚持党对国有企业领导的内在要求。要健全以职工代表大会为基本形式的民主管理制度，推进厂务公开、业务公开，落实职工群众知情权、参与权、表达权、监督权，充分调动工人阶级的积极性、主动性、创造性。企业在重大决策上要听取职工意见，涉及职工切身利益的重大问题必须经过职代会审议。要坚持和完善职工董事制度、职工监事制度，鼓励职工代表有序参与公司治理。习近平强调，国有企业领导人员是党在经济领域的执政骨干，是治国理政复合型人才的重要来源，肩负着经营管理国有资产、实现保值增值的重要责任。国有企业领导人员必须做到对党忠诚、勇于创新、治企有方、兴企有为、清正廉洁。国有企业领导人员要坚定信念、任事担当，牢记自己的第一职责是为党工作，牢固树立政治意识、大局意识、核心意识、看齐意识，把爱党、忧党、兴党、护党落实到经营管理各项工作中。面对日趋激烈的国内外市场竞争，国有企业领导人员要迎难而上、开拓进取，带领广大干部职工开创企业发展新局面。习近平指出，要坚持党管干部原则，保证党对干部人事工作的领导权和对重要干部的管理权，保证人选政治合格、作风过硬、廉洁不出问题。要让国有企业领导人员在工作一线摸爬滚打、锻炼成长，把在实践中成长起来的良将贤才及时选拔到国有企业领导岗位上来。对国有企业领导人员，既要从严管理，又要关心爱护，树立正向激励的鲜明导向，让他们放开手脚干事、甩开膀子创业。要大力宣传优秀国有企业领导人员的先进事迹和突出贡献，营造尊重企业家价值、鼓励企业家创新、发挥企业家作用的浓厚社会氛围。习近平强调，全面从严治党要在国有企业落实落地，必须从基本组织、基本队伍、基本制度严起。要同步建立党的组织、动态调整组织设置。要把党员日常教育管理的基础性工作抓紧抓好。企业党组织“三会一课”要突出党性锻炼。要让支部成为团结群众的核心、教育党员的学校、攻坚克难的堡垒。要把思想政治工作作为企业党组织一项经常性、基础性工作来抓，把解决思想问题同解决实际问题结合起来，既讲道理，又办实事，多做得人心、暖人心、稳人心的工作。习近平指出，各级党委要抓好国有企业党的建设，把党要管党、从严治党落到实处。地方各级党委要把国有企业党的建设纳入整体工作部署和党的建设总体规划。国有企业党委（党组）要履行主体责任。要加强国有企业党风廉政建设和反腐败工作，把纪律和规矩挺在前面，持之以恒落实中央八项规定精神，抓好巡视发现问题的整改，严肃查处侵吞国有资产、利益输送等问题。刘云山在讲话中指出，习近平总书记重要讲话从坚持和发展中国特色社会主义、巩固党的执政基础执政地位的高度，深刻回答了事关国有企业改革发展和党的建设的一系列重大问题，具有很强的战略性、思想性、针对性，是加强新形势下国有企业党的建设的纲领性文献，对于做强做优做大国有企业、推进党和国家事业发展具有重要指导意义。要深入学习领会、全面贯彻落实，切实把思想和行动统一到讲话精神上来。刘云山说，贯彻习近平总书记重要讲话精神，关键是要提高思想认识，明确工作责任，把国有企业党的建设各项任务落到实处。要深化对国有企业重要地位的认识，深化对国有企业党的建设重大意义和目标任务的认识，增强做好工作的责任感。要落实党的领导的根本原则，按照把加强党的领导与完善公司治理统一起来的要求，推动党组织领导核心和政治核心作用组织化、制度化、具体化。要着力抓好政治引领，抓好国有企业领导人员队伍建设和管理，抓好基层党组织建设和职工群众的思想政治工作。要强化问题导向，弘扬改革创新精神，切实解决国有企业党的建设存在的突出问题。各级党委要负起把握方向、统一领导、建强队伍的责任，把国有企业党的建设工作纳入整体工作部署和党的建设总体规划。党委组织部门要负起牵头抓总的责任，国资监管部门要落实管资本就要管党建的责任。国有企业党委（党组）要负起党建工作主体责任，党组织书记要履行第一责任人责任。要推动党建工作与生产经营深度融合，把党建工作成效转化为企业发展优势。上海市、重庆市、陕西省和中国工商银行、中国航天科技集团公司、中国石油天然气集团公司兰州石化公司、中国交通建设集团有限公司、安阳钢铁集团公司党委（党组）负责同志作会议发言。部分中共中央政治局委员、中央书记处书记，国务委员出席会议。中央党的建设工作领导小组成员，中央和国家机关各部门、各人民团体和中管金融企业、中央企业党委（党组）负责同志，各省区市和副省级城市、新疆生产建设兵团党委组织部部长等参加会议。
932,习近平同缅甸总统吴登盛举行会谈,国家主席习近平27日在人民大会堂同缅甸总统吴登盛举行会谈。两国元首一致同意，坚持中缅友好正确方向，深化全面战略合作，推动中缅关系继续健康稳定向前发展。习近平表示，中缅山水相连、命运相系。中方希望缅甸实现长期稳定和发展，相信缅方会继续坚持走符合自身国情的发展道路。当前，国际和地区形势复杂多变，中缅两国都处在深化改革的重要阶段。双方应该从两国人民根本和长远利益出发，坚持中缅友好正确方向，坚持风雨同舟、互信互助传统，坚定推进全面战略合作，推动中缅关系继续健康稳定向前发展。中方坚定发展对缅友好，这一政策不会因一时一事而改变。吴登盛表示，中国是缅甸的好邻居、好朋友、好伙伴，建交64年来，两国传统“胞波”情谊日益加深。缅方感谢中国长期以来给予的支持和帮助，将继续在中方核心利益和重大关切问题上支持中方。缅方愿同中方传承传统友谊，推动缅中全面战略合作伙伴关系不断向前发展。我邀请并欢迎习近平主席在方便的时候访问缅甸，相信这将有力推动两国合作。缅方希望进一步提升双边贸易水平，欢迎中国企业投资，将积极落实好双方达成的各项合作协议，并在防灾救灾等领域拓展新的合作。缅方愿为促进东盟－中国合作继续发挥积极作用。习近平指出，今年是和平共处五项原则发表60周年。我们愿同缅方一道，继承、弘扬、发展和平共处五项原则精神，共同为推动建立平等互信、包容互鉴、合作共赢的新型国际关系作出努力。吴登盛表示，在和平共处五项原则指引下，缅中两国建立并发展了和平、友好、合作的关系，相信五项原则将继续成为指导国际关系的基本准则。两国元首还共同见证了文化、教育、卫生等领域合作文件的签署。会谈前，习近平在人民大会堂东门外广场为吴登盛举行欢迎仪式。全国人大常委会副委员长严隽琪、国务委员杨洁篪、全国政协副主席张庆黎等出席。
933,习近平会见马来西亚国会下议院议长,国家主席习近平24日在人民大会堂会见马来西亚国会下议院议长潘迪卡尔。习近平说，中国政府高度重视发展同马来西亚的友好关系，将推进中马关系作为周边外交的重要方向。双方应以庆祝建交40周年为契机，作好顶层设计，规划好各领域互利合作，推动中马全面战略伙伴关系实现快速发展。习近平说，今年3月，马来西亚航空MH370客机失联，这是一起非常不幸的事件。希望马方继续抓紧协调有关国家，制定完善常态化搜寻和善后方案，争取尽快找到飞机下落。潘迪卡尔转达了哈利姆最高元首和纳吉布总理对习近平主席的亲切问候。他表示，马来西亚国会下议院坚定支持马中两国政府达成的各项共识，愿为进一步巩固马中友好关系作出贡献。全国人大常委会副委员长兼秘书长王晨参加会见。
934,习近平：既要让自己过得好 也要让别人过得好,尊敬的贾比尔首相殿下，阿盟秘书长阿拉比先生，各位代表团团长，女士们，先生们，朋友们：萨拉姆－阿莱孔！大家好！今天，有机会同阿拉伯朋友欢聚一堂，共商中阿合作论坛建设和中阿关系发展大计，感到十分高兴。首先，我谨代表中国政府和中国人民，并以我个人的名义，向与会各位嘉宾，表示热烈欢迎！向中阿合作论坛第六届部长级会议的召开，表示衷心祝贺！同阿拉伯朋友见面，总有一见如故的感觉。这种亲近感缘于我们对待彼此的热情和真诚，也是缘于中阿两个民族的长期交往。回顾中阿人民交往历史，我们就会想起陆上丝绸之路和海上香料之路。我们的祖先在大漠戈壁上“驰命走驿，不绝于时月”，在汪洋大海中“云帆高张，昼夜星驰”，走在了古代世界各民族友好交往的前列。甘英、郑和、伊本·白图泰是我们熟悉的中阿交流友好使者。丝绸之路把中国的造纸术、火药、印刷术、指南针经阿拉伯地区传播到欧洲，又把阿拉伯的天文、历法、医药介绍到中国，在文明交流互鉴史上写下了重要篇章。千百年来，丝绸之路承载的和平合作、开放包容、互学互鉴、互利共赢精神薪火相传。中阿人民在维护民族尊严、捍卫国家主权的斗争中相互支持，在探索发展道路、实现民族振兴的道路上相互帮助，在深化人文交流、繁荣民族文化的事业中相互借鉴。我们不会忘记，60年前的万隆会议上，中国向尚未建交的阿拉伯国家承诺支持巴勒斯坦人民的斗争；40多年前，13个阿拉伯国家和非洲朋友一道，投票赞成新中国恢复联合国席位。我们不会忘记，近万名中国医生奔走在阿拉伯国家田野乡间，救死扶伤；而在四川汶川特大地震灾害发生后，最慷慨的援助来自阿拉伯兄弟。女士们、先生们、朋友们！未来10年，对中阿双方都是发展的关键时期。中国已经进入全面建成小康社会的决定性阶段。实现这个目标是实现中华民族伟大复兴中国梦的关键一步。我们为此作出全面深化改革的总体部署，着力点之一就是以更完善、更具活力的开放型经济体系，全方位、多层次发展国际合作，扩大同各国各地区的利益汇合、互利共赢。中东正在经历前所未有的大变动大调整，阿拉伯国家正在自主探索变革。实现民族振兴的共同使命和挑战，需要我们弘扬丝绸之路精神，为发展增动力，为合作添活力，不断深化全面合作、共同发展的中阿战略合作关系。——弘扬丝路精神，就是要促进文明互鉴。人类文明没有高低优劣之分，因为平等交流而变得丰富多彩，正所谓“五色交辉，相得益彰；八音合奏，终和且平”。中阿双方坚持以开放包容心态看待对方，用对话交流代替冲突对抗，创造了不同社会制度、不同信仰、不同文化传统的国家和谐相处的典范。中国将继续毫不动摇支持阿拉伯国家维护民族文化传统，反对一切针对特定民族和宗教的歧视和偏见。我们应该一道努力，倡导文明宽容，防止极端势力和思想在不同文明之间制造断层线。——弘扬丝路精神，就是要尊重道路选择。“履不必同，期于适足；治不必同，期于利民。”一个国家发展道路合不合适，只有这个国家的人民才最有发言权。正像我们不能要求所有花朵都变成紫罗兰这一种花，我们也不能要求有着不同文化传统、历史遭遇、现实国情的国家都采用同一种发展模式。否则，这个世界就太单调了。阿拉伯国家正在自主探索发展道路。我们愿意同阿拉伯朋友分享治国理政经验，从各自古老文明和发展实践中汲取智慧。——弘扬丝路精神，就是要坚持合作共赢。中国追求的是共同发展。我们既要让自己过得好，也要让别人过得好。未来5年，中国将进口超过10万亿美元的商品，对外直接投资将超过5000亿美元。2013年，中国从阿拉伯国家进口商品1400亿美元，只占今后每年2万亿美元进口商品总额的7%，对阿拉伯国家直接投资22亿美元，只占今后每年1000亿美元对外直接投资总额的2.2%。差距也是潜力，更是机遇。中国愿意把自身发展同阿拉伯国家发展对接起来，为阿拉伯国家扩大就业、推进工业化、推动经济发展提供支持。——弘扬丝路精神，就是要倡导对话和平。中国坚定支持中东和平进程，支持建立以1967年边界为基础、以东耶路撒冷为首都、享有完全主权的独立的巴勒斯坦国。希望有关各方采取切实措施，消除和谈障碍，尽快打破和谈僵局。中国尊重叙利亚人民合理诉求，支持尽快落实日内瓦公报，开启包容性政治过渡，实现叙利亚问题政治解决。中国高度关注叙利亚人道主义状况，为缓解人道灾难，将向在约旦、黎巴嫩等国的叙利亚难民提供新一批人道主义援助。中国支持建立中东无核武器区，反对任何改变中东政治版图的企图。中国将以建设性姿态参与地区事务，主持公道、伸张正义，同阿拉伯国家一道，推动通过对话找到各方关切的最大公约数，为妥善解决地区热点问题提供更多公共产品。女士们、先生们、朋友们！“一带一路”是互利共赢之路，将带动各国经济更加紧密结合起来，推动各国基础设施建设和体制机制创新，创造新的经济和就业增长点，增强各国经济内生动力和抗风险能力。中国同阿拉伯国家因为丝绸之路相知相交，我们是共建“一带一路”的天然合作伙伴。——中阿共建“一带一路”，应该坚持共商、共建、共享原则。共商，就是集思广益，好事大家商量着办，使“一带一路”建设兼顾双方利益和关切，体现双方智慧和创意。共建，就是各施所长，各尽所能，把双方优势和潜能充分发挥出来，聚沙成塔，积水成渊，持之以恒加以推进。共享，就是让建设成果更多更公平惠及中阿人民，打造中阿利益共同体和命运共同体。——中阿共建“一带一路”，既要登高望远、也要脚踏实地。登高望远，就是要做好顶层设计，规划好方向和目标，构建“1+2+3”合作格局。“1”是以能源合作为主轴，深化油气领域全产业链合作，维护能源运输通道安全，构建互惠互利、安全可靠、长期友好的中阿能源战略合作关系。“2”是以基础设施建设、贸易和投资便利化为两翼，加强中阿在重大发展项目、标志性民生项目上的合作，为促进双边贸易和投资建立相关制度性安排。中方将鼓励中国企业自阿方进口更多非石油产品，优化贸易结构，争取中阿贸易额从去年的2400亿美元在未来10年增至6000亿美元。中方将鼓励中国企业投资阿拉伯国家能源、石化、农业、制造业、服务业等领域，争取中国对阿非金融类投资存量从去年的100亿美元在未来10年增至600亿美元以上。“3”是以核能、航天卫星、新能源三大高新领域为突破口，努力提升中阿务实合作层次。双方可以探讨设立中阿技术转移中心，共建阿拉伯和平利用核能培训中心，研究中国北斗卫星导航系统落地阿拉伯项目。脚踏实地，就是要争取早期收获。阿拉伯谚语说：“被行动证明的语言是最有力的语言。”只要中阿双方有共识、有基础的项目，如中国－海湾阿拉伯国家合作委员会自由贸易区、中国－阿联酋共同投资基金、阿拉伯国家参与亚洲基础设施投资银行筹建等，都应该加快协商和推进，争取成熟一项实现一项。“一带一路”建设越早取得实实在在的成果，就越能调动各方面积极性，发挥引领和示范效应。——中阿共建“一带一路”，应该依托并增进中阿传统友谊。民心相通是“一带一路”建设的重要内容，也是关键基础。我在这里宣布，中阿双方决定把2014年和2015年定为中阿友好年，并在这一框架内举办一系列友好交流活动。我们也愿意同阿方扩大互办艺术节等文化交流活动规模，鼓励更多青年学生赴对方国家留学或交流，加强旅游、航空、新闻出版等领域合作。今后3年，我们将为阿拉伯国家再培训6000名各类人才，同阿方分享发展、减贫等方面经验，交流中方的先进适用技术。未来10年，我们将组织10000名中阿艺术家互访交流，推动并支持200家中阿文化机构开展对口合作，邀请并支持500名阿拉伯文化艺术人才来华研修。女士们、先生们、朋友们！成立中阿合作论坛，是我们着眼中阿关系长远发展作出的战略抉择。经过10年发展，论坛已经成为丰富中阿关系战略内涵、推进中阿务实合作的有效抓手。共建“一带一路”是论坛发展的新机遇新起点。抓住这个机遇，才能确保现在的发展不停步，将来的发展可持续。站在这个新起点上，才能获得更大发展空间，才能激发更为持久的发展动力。一言以蔽之，论坛建设要走在实处，当好支点。——我们要依托论坛支点，加强政策沟通。我们应该彼此坦诚相待，不惧怕分歧、不回避问题，就各自外交政策和发展战略进行充分交流，增进政治互信，促进战略对接，为中阿合作提供政策助力。——我们要依托论坛支点，深化务实合作。中阿发展禀赋互补性强，我们要充分用好资源共享的潜力和取长补短的空间，用最明白的语言对话，用最贴心的方式合作。集体合作不追求轰动一时，而更看重打基础、谋长远的举措。——我们要依托论坛支点，不断开拓创新。论坛的生命力在于创新。我们双方要运用新思路、推出新举措、创建新机制，努力破解务实合作遇到的各种难题，以改革创新精神打破现实瓶颈、释放合作潜能。女士们、先生们、朋友们！中阿关系的快速发展，也把双方普通人的命运更加紧密地联结在一起。在我曾经工作过的浙江，就有这样一个故事。在阿拉伯商人云集的义乌市，一位名叫穆罕奈德的约旦商人开了一家地道的阿拉伯餐馆。他把原汁原味的阿拉伯饮食文化带到了义乌，也在义乌的繁荣兴旺中收获了事业成功，最终同中国姑娘喜结连理，把根扎在了中国。一个普通阿拉伯青年人，把自己的人生梦想融入中国百姓追求幸福的中国梦中，执着奋斗，演绎了出彩人生，也诠释了中国梦和阿拉伯梦的完美结合。中华民族和阿拉伯民族创造了灿烂辉煌的文明，近代以来又都在时代变迁中经历过曲折，实现民族复兴始终是我们双方的追求。让我们携起手来，弘扬丝路精神，深化中阿合作，为中国梦和阿拉伯振兴而努力！为人类和平与发展的崇高事业而奋斗！舒克拉！谢谢！
935,习近平同柬埔寨首相洪森举行会谈,习近平强调，由两国老一辈领导人共同缔造和精心培育的中柬友谊历久弥坚。当前，中柬关系呈现积极发展势头，政治互信不断加强，经济合作成果丰硕，多边配合更加密切。中方始终珍视中柬传统友谊，愿同柬方一道，不断丰富中柬全面战略合作伙伴关系内涵，给两国人民带来更多实实在在的利益。习近平赞扬柬埔寨政治社会稳定、经济快速发展、人民生活改善、国际地位提高，表示相信柬埔寨政府一定能够带领柬埔寨人民，把国家建设得更加富强。中方坚定支持柬埔寨走符合本国国情的发展道路，愿继续为柬埔寨国家建设提供力所能及的帮助。洪森表示，柬中两国是高度互信的好朋友，双方在各自发展和彼此重大关切问题上始终相互理解和支持。柬方感谢中方长期以来给予的帮助，坚持将传承两国老一辈领导人缔造的柬中传统友谊作为重要使命。柬方愿同中方一道，以习主席此访为契机，加强柬中友好，深化两国全面战略合作伙伴关系。两国领导人一致决定巩固中柬传统友好，大力推动全面战略合作，让两国继续做高度互信的好朋友、肝胆相照的好伙伴、休戚相关的命运共同体。双方同意保持高层互访和交往的良好传统，加强高层战略沟通，引领新时期中柬关系发展，加强政府、议会、政党合作，深化治国理政经验交流，扩大外交和执法安全合作。双方同意加快两国发展战略对接，制定并实施好共同推进“一带一路”建设合作规划纲要，采取措施扩大双边贸易规模，加强在产能、投资、农业、水利、基础设施建设、能源、通信、工业、海洋等领域合作，继续实施好西哈努克港经济特区等合作项目。双方同意扩大科技、教育、文化、文物、卫生、旅游等领域交流合作，加强民间特别是青少年友好交往，培养中柬友好事业接班人，夯实两国友好的民意基础。双方同意共同推进中国—东盟合作，加强在联合国、亚欧会议、东亚合作、澜沧江—湄公河合作等多边框架内的沟通和协调，维护两国和发展中国家共同利益。会谈后，两国领导人共同见证了外交、共建“一带一路”、产能合作、投资、水利、新闻、海洋等领域多项双边合作文件的签署，并共同出席金边中国文化中心揭牌仪式。双方发表了《中华人民共和国和柬埔寨王国联合声明》。会谈前，习近平向柬埔寨独立纪念碑献花圈。
936,习近平会见科威特首相贾比尔,国家主席习近平4日在人民大会堂会见科威特首相贾比尔。习近平表示，中方高度关注西亚北非形势。我们主张维护国际核不扩散体系，支持建立中东无核武器区，反对以任何形式发展核武器，反对干涉海合会国家内政。中方支持科方在地区事务中发挥积极作用，愿同包括科威特在内的本地区国家一道，推动有关问题的政治解决，共同维护地区和平稳定，促进中海、中阿关系不断取得新发展。
937,习近平同乌拉圭总统巴斯克斯举行会谈 决定建立中乌战略伙伴关系,10月18日，国家主席习近平在北京人民大会堂同乌拉圭总统巴斯克斯举行会谈。国家主席习近平18日在人民大会堂同乌拉圭总统巴斯克斯举行会谈。两国元首决定在相互尊重、平等互利的基础上建立中乌战略伙伴关系，以深化和拓展两国各领域互利友好合作，共同谱写双边关系新篇章。习近平指出，中乌虽然相距遥远，国情各异，但建交28年来，双方始终坚持平等相待，开展互利合作，成为好朋友、好伙伴。当前中乌关系已经站在新的历史起点上，我们应该携手努力，全面规划和执行两国合作蓝图，更好造福两国人民。习近平指出，中方坚定支持拉美国家为维护地区稳定、团结、发展所作努力。当前中拉关系已进入双边合作和整体合作并行发展的新阶段，中方愿同乌拉圭以及拉美各国一道努力，共同构建1+3+6合作新框架，推动中拉关系实现更大发展，打造携手共进的命运共同体。巴斯克斯表示，乌中人民拥有深厚友谊。发展好对华关系是乌拉圭国策。很高兴今天乌中在相互尊重、平等互利基础上建立战略伙伴关系。这将开辟两国关系新篇章。乌方致力于深化两国互信，支持中国统一大业。双方在经贸、投资、金融、农业、渔业、能源，地方、足球等领域合作势头良好。乌方欢迎中国企业加大对乌基础设施建设投资，愿意与中国商签双边自由贸易协定。中国在国际事务中发挥着重要积极作用，中国的发展推动着世界经济的增长。乌方愿同中方共同推动中拉关系更大发展，并密切在国际和地区事务中协调合作。会谈后，双方发表《中华人民共和国和乌拉圭东岸共和国关于建立战略伙伴关系的联合声明》。两国元首见证了外交、文化、教育、工业、农业、能源、旅游等领域双边合作文件的签署。会谈前，习近平在人民大会堂东门外广场为巴斯克斯举行欢迎仪式。全国人大常委会副委员长艾力更·依明巴海、国务委员杨洁篪、全国政协副主席陈晓光等出席。
938,习近平同伊朗总统会谈 强调推动中伊友好合作迈上新台阶,国家主席习近平22日在上海同伊朗总统鲁哈尼举行会谈。两国元首共同规划中伊关系发展，决定携手努力，推动各领域友好合作迈上新台阶。习近平强调，中方愿继续为伊朗核问题早日得到全面妥善解决作出贡献。鲁哈尼表示，我去年同习近平主席在比什凯克会晤以来，两国关系加快发展。伊中友好交往历史悠久，现实关系不存在障碍，我对两国合作感到乐观。伊方从长远角度重视加强两国经贸、能源、交通基础设施等领域合作，欢迎中国企业投资。伊方支持两国文化交流。中国是促进亚洲和世界和平和发展的重要力量。伊方祝贺亚信上海峰会取得积极成果，愿同中方加强在亚信平台的配合，共同反对恐怖主义和极端势力，维护地区安全稳定。习近平指出，中方尊重伊朗和平利用核能的权利，始终认为对话谈判是妥善解决伊朗核问题的唯一正确和有效途径。中方对近来伊朗核问题对话取得进展表示欢迎，希望有关各方继续努力，尽早达成全面协议。中方愿继续同伊方加强沟通协调，为推动谈判进程发挥建设性作用。鲁哈尼介绍了伊方有关立场，强调伊方根据《不扩散核武器条约》享有的合法权益应得到保障，通过谈判早日达成全面协议对各方都有利。伊方赞赏中方劝和促谈，希望中方继续发挥积极作用。会谈前，习近平在上海西郊会议中心广场为鲁哈尼举行欢迎仪式。王沪宁、栗战书、杨洁篪等参加上述活动。
939,习近平会见巴基斯坦总统侯赛因,国家主席习近平22日在上海会见巴基斯坦总统侯赛因。习近平表示，今年以来，中巴领导人保持密切接触。侯赛因总统2月访华期间，我们一致同意加强战略协作和务实合作，打造中巴命运共同体。这些重要共识正在逐步得到落实，中巴各领域合作不断取得新进展。两国元首共同见证了《中国和巴基斯坦关于拉合尔轨道交通橙线项目的政府间框架协议》的签署。王沪宁、栗战书、杨洁篪等参加上述活动。
940,习近平会见斯里兰卡总统拉贾帕克萨,国家主席习近平22日在上海会见斯里兰卡总统拉贾帕克萨。习近平表示，拉贾帕克萨总统去年访华时，我们一道宣布将两国关系提升为战略合作伙伴关系，为中斯关系发展作出了长远规划。一年来，双方达成的各项共识得到落实，各领域合作扎实推进，两国关系步入快车道。中方视斯里兰卡为可以信赖的朋友和在南亚、印度洋地区重要合作伙伴，坚定支持斯方维护国家独立、主权、领土完整的努力，反对以人权问题为借口干涉斯里兰卡内政。王沪宁、栗战书、杨洁篪等参加会见。
941,习近平会见比利时首相米歇尔,习近平指出，今年是中比建交45周年，两国关系发展面临新的历史机遇。双方应该总结过去、开拓创新，为发展充满活力、更加持久的中比全方位友好合作作出不懈努力。习近平强调，中比要立足真诚友好，妥善处理涉及彼此核心利益和重大关切的问题。中方高度赞赏比利时政府坚持一个中国政策。双方要立足开拓创新，两国经贸合作基础深厚、潜力巨大。双方可以结合各自优势，以先进制造业、新能源、生态环保、现代服务业等为重点，积极开展高技术、高附加值的新型合作，加强联合创新和研发。希望比方抓住“一带一路”建设带来的机遇，推进中欧、亚欧物流产业发展和跨境电子商务合作。中方赞赏和欢迎比利时加入亚洲基础设施投资银行的积极意愿，祝愿比利时早日成为亚投行成员，欢迎比方积极参与亚欧海陆联动大通道、泛欧铁路网等建设。双方要立足开放共赢，中比都致力于维护公平、开放的国际贸易体系，中方始终从战略高度重视欧盟，坚定支持欧洲一体化进程，深化同欧盟的战略伙伴关系。希望比方推动欧盟如期充分履行《中国加入世贸组织议定书》第十五条义务，继续为中欧关系发展发挥积极作用。
